"","id","days_to_event","date_out","out_event","date_in","in_event","breed","color","intake_age"
"1","A730601",1,"07/08/2016 09:00:00 AM","Transfer","07/07/2016 12:11:00 PM","Stray","Domestic Shorthair Mix","Blue Tabby",7
"2","A679549",25,"06/16/2014 01:54:00 PM","Transfer","05/22/2014 03:43:00 PM","Stray","Domestic Shorthair Mix","Black/White",1
"3","A683656",4,"07/17/2014 04:57:00 PM","Adoption","07/13/2014 01:20:00 PM","Stray","Snowshoe Mix","Lynx Point",2
"4","A709749",41,"09/22/2015 12:49:00 PM","Transfer","08/12/2015 06:29:00 PM","Stray","Domestic Shorthair Mix","Calico",12
"5","A733551",9,"09/01/2016 12:00:00 AM","Transfer","08/23/2016 02:35:00 PM","Stray","Domestic Shorthair Mix","Brown Tabby/White",1
"6","A756485",4,"08/24/2017 05:34:00 PM","Adoption","08/20/2017 03:07:00 PM","Stray","Domestic Shorthair Mix","Blue Tabby",1
"7","A732960",4,"08/19/2016 06:27:00 PM","Adoption","08/15/2016 03:08:00 PM","Stray","Domestic Shorthair Mix","Calico",2
"8","A664571",5,"10/10/2013 02:07:00 PM","Adoption","10/05/2013 01:43:00 PM","Owner Surrender","Domestic Shorthair Mix","Torbie",24
"9","A727402",24,"06/14/2016 04:18:00 PM","Adoption","05/21/2016 04:30:00 PM","Stray","Domestic Shorthair Mix","Brown Tabby",1
"10","A749579",2,"05/18/2017 03:36:00 PM","Transfer","05/16/2017 05:19:00 PM","Stray","Domestic Shorthair Mix","Blue Tabby",3
"11","A729190",34,"07/18/2016 05:50:00 PM","Adoption","06/14/2016 02:42:00 PM","Stray","Domestic Shorthair Mix","Brown Tabby",4
"12","A754695",27,"08/19/2017 01:02:00 PM","Adoption","07/23/2017 11:17:00 AM","Stray","Domestic Shorthair Mix","Blue Tabby",12
"13","A752501",3,"06/26/2017 04:05:00 PM","Transfer","06/23/2017 11:00:00 AM","Stray","Domestic Shorthair Mix","Brown Tabby",1
"14","A741843",151,"06/10/2017 03:21:00 PM","Euthanasia","01/10/2017 09:18:00 AM","Owner Surrender","Domestic Shorthair Mix","Orange Tabby",7
"15","A751399",106,"09/21/2017 12:49:00 PM","Adoption","06/07/2017 04:30:00 PM","Stray","Domestic Shorthair Mix","Blue Tabby",0
