year,no_spawners,no_recruits,river,river_length_km,S,R
1976,1018,18600,BigBeefCreek,16.4,62.07317073,567.0731707
1977,654,47300,BigBeefCreek,16.4,39.87804878,1442.073171
1978,295,20755,BigBeefCreek,16.4,17.98780488,632.7743902
1979,1108,40076,BigBeefCreek,16.4,67.56097561,1221.829268
1980,499,24596,BigBeefCreek,16.4,30.42682927,749.8780488
1981,411,26724,BigBeefCreek,16.4,25.06097561,814.7560976
1982,465,36646,BigBeefCreek,16.4,28.35365854,1117.256098
1983,277,25446,BigBeefCreek,16.4,16.8902439,775.7926829
1984,883,23637,BigBeefCreek,16.4,53.84146341,720.6402439
1985,227,10872,BigBeefCreek,16.4,13.84146341,331.4634146
1986,1053,24614,BigBeefCreek,16.4,64.20731707,750.4268293
1987,514,16437,BigBeefCreek,16.4,31.34146341,501.1280488
1988,283,19427,BigBeefCreek,16.4,17.25609756,592.2865854
1989,368,22563,BigBeefCreek,16.4,22.43902439,687.8963415
1990,188,18720,BigBeefCreek,16.4,11.46341463,570.7317073
1991,283,13071,BigBeefCreek,16.4,17.25609756,398.5060976
1992,517,18431,BigBeefCreek,16.4,31.52439024,561.9207317
1980,355,31806,BinghamCreek,22.2,15.99099099,716.3513514
1981,1268,33464,BinghamCreek,22.2,57.11711712,753.6936937
1982,946,43945,BinghamCreek,22.2,42.61261261,989.7522523
1983,543,30939,BinghamCreek,22.2,24.45945946,696.8243243
1984,2869,25205,BinghamCreek,22.2,129.2342342,567.6801802
1985,914,22233,BinghamCreek,22.2,41.17117117,500.7432432
1986,1445,15742,BinghamCreek,22.2,65.09009009,354.5495495
1987,963,29041,BinghamCreek,22.2,43.37837838,654.0765766
1988,5895,23712,BinghamCreek,22.2,265.5405405,534.0540541
1989,1905,27639,BinghamCreek,22.2,85.81081081,622.5
1990,2900,20500,BinghamCreek,22.2,130.6306306,461.7117117
1991,330,25000,BinghamCreek,22.2,14.86486486,563.0630631
1992,450,20500,BinghamCreek,22.2,20.27027027,461.7117117
1993,650,18000,BinghamCreek,22.2,29.27927928,405.4054054
1985,2848,72157,BlackCreek,33,86.3030303,1093.287879
1986,2420,76123,BlackCreek,33,73.33333333,1153.378788
1987,346,35598,BlackCreek,33,10.48484848,539.3636364
1988,1267,113222,BlackCreek,33,38.39393939,1715.484848
1989,1627,55459,BlackCreek,33,49.3030303,840.2878788
1990,714,55383,BlackCreek,33,21.63636364,839.1363636
1991,1849,58302,BlackCreek,33,56.03030303,883.3636364
1992,815,78059,BlackCreek,33,24.6969697,1182.712121
1993,389,15124,BlackCreek,33,11.78787879,229.1515152
1994,420,15687,BlackCreek,33,12.72727273,237.6818182
1995,910,78397,BlackCreek,33,27.57575758,1187.833333
1996,126,21324,BlackCreek,33,3.818181818,323.0909091
1971,81,2559,CarnationCreek,3.1,26.12903226,412.7419355
1972,75,2088,CarnationCreek,3.1,24.19354839,336.7741935
1973,75,2315,CarnationCreek,3.1,24.19354839,373.3870968
1974,70,2929,CarnationCreek,3.1,22.58064516,472.4193548
1975,69,2403,CarnationCreek,3.1,22.25806452,387.5806452
1976,55,4136,CarnationCreek,3.1,17.74193548,667.0967742
1977,51,3853,CarnationCreek,3.1,16.4516129,621.4516129
1978,56,3972,CarnationCreek,3.1,18.06451613,640.6451613
1979,176,4390,CarnationCreek,3.1,56.77419355,708.0645161
1980,69,3153,CarnationCreek,3.1,22.25806452,508.5483871
1981,38,3559,CarnationCreek,3.1,12.25806452,574.0322581
1982,71,3184,CarnationCreek,3.1,22.90322581,513.5483871
1983,51,1876,CarnationCreek,3.1,16.4516129,302.5806452
1984,21,2984,CarnationCreek,3.1,6.774193548,481.2903226
1985,26,2437,CarnationCreek,3.1,8.387096774,393.0645161
1986,58,2964,CarnationCreek,3.1,18.70967742,478.0645161
1987,26,3671,CarnationCreek,3.1,8.387096774,592.0967742
1988,22,3530,CarnationCreek,3.1,7.096774194,569.3548387
1989,62,3320,CarnationCreek,3.1,20,535.483871
1990,99,5018,CarnationCreek,3.1,31.93548387,809.3548387
1991,74,3759,CarnationCreek,3.1,23.87096774,606.2903226
1992,53,5265,CarnationCreek,3.1,17.09677419,849.1935484
1993,29,2812,CarnationCreek,3.1,9.35483871,453.5483871
1994,3,381,CarnationCreek,3.1,0.967741935,61.4516129
1959,21,1917,DeerCreek,2.32,9.051724138,413.1465517
1960,19,2210,DeerCreek,2.32,8.189655172,476.2931034
1961,28,2775,DeerCreek,2.32,12.06896552,598.0603448
1962,18,2082,DeerCreek,2.32,7.75862069,448.7068966
1963,27,2368,DeerCreek,2.32,11.63793103,510.3448276
1964,44,1836,DeerCreek,2.32,18.96551724,395.6896552
1965,24,2245,DeerCreek,2.32,10.34482759,483.8362069
1966,56,2461,DeerCreek,2.32,24.13793103,530.387931
1967,23,2160,DeerCreek,2.32,9.913793103,465.5172414
1968,39,1484,DeerCreek,2.32,16.81034483,319.8275862
1969,8,738,DeerCreek,2.32,3.448275862,159.0517241
1970,10,1072,DeerCreek,2.32,4.310344828,231.0344828
1971,36,1923,DeerCreek,2.32,15.51724138,414.4396552
1977,2784,60275,DeschutesRiver,54,51.55555556,558.1018519
1978,905,65776,DeschutesRiver,54,16.75925926,609.037037
1979,3104,131261,DeschutesRiver,54,57.48148148,1215.37963
1980,1135,64757,DeschutesRiver,54,21.01851852,599.6018519
1981,1599,65518,DeschutesRiver,54,29.61111111,606.6481481
1982,3669,101901,DeschutesRiver,54,67.94444444,943.5277778
1983,1946,64452,DeschutesRiver,54,36.03703704,596.7777778
1984,1871,99241,DeschutesRiver,54,34.64814815,918.8981481
1985,2609,91057,DeschutesRiver,54,48.31481481,843.1203704
1986,2069,54397,DeschutesRiver,54,38.31481481,503.6759259
1987,5185,117087,DeschutesRiver,54,96.01851852,1084.138889
1988,3188,133066,DeschutesRiver,54,59.03703704,1232.092593
1989,473,11248,DeschutesRiver,54,8.759259259,104.1481481
1990,1340,57204,DeschutesRiver,54,24.81481481,529.6666667
1991,850,29000,DeschutesRiver,54,15.74074074,268.5185185
1992,240,17000,DeschutesRiver,54,4.444444444,157.4074074
1959,8,875,FlynnCreek,1.43,5.594405594,305.9440559
1960,26,776,FlynnCreek,1.43,18.18181818,271.3286713
1961,51,1354,FlynnCreek,1.43,35.66433566,473.4265734
1962,2,565,FlynnCreek,1.43,1.398601399,197.5524476
1963,20,736,FlynnCreek,1.43,13.98601399,257.3426573
1964,10,663,FlynnCreek,1.43,6.993006993,231.8181818
1965,11,969,FlynnCreek,1.43,7.692307692,338.8111888
1966,55,616,FlynnCreek,1.43,38.46153846,215.3846154
1967,10,430,FlynnCreek,1.43,6.993006993,150.3496503
1968,19,207,FlynnCreek,1.43,13.28671329,72.37762238
1969,5,140,FlynnCreek,1.43,3.496503497,48.95104895
1970,5,330,FlynnCreek,1.43,3.496503497,115.3846154
1971,18,404,FlynnCreek,1.43,12.58741259,141.2587413
1947,228,3551,HooknoseCreek,5.83,39.10806175,304.5454545
1948,204,2982,HooknoseCreek,5.83,34.99142367,255.7461407
1949,294,4389,HooknoseCreek,5.83,50.42881647,376.4150943
1950,71,3621,HooknoseCreek,5.83,12.17838765,310.5488851
1951,29,4037,HooknoseCreek,5.83,4.974271012,346.2264151
1952,246,5987,HooknoseCreek,5.83,42.19554031,513.464837
1953,75,6756,HooknoseCreek,5.83,12.864494,579.4168096
1954,160,4513,HooknoseCreek,5.83,27.44425386,387.0497427
1955,228,6074,HooknoseCreek,5.83,39.10806175,520.9262436
1956,136,4452,HooknoseCreek,5.83,23.32761578,381.8181818
1957,150,5291,HooknoseCreek,5.83,25.72898799,453.7735849
1958,163,5945,HooknoseCreek,5.83,27.95883362,509.8627787
1959,158,7094,HooknoseCreek,5.83,27.10120069,608.4048027
1961,392,7260,HuntsCreek,5.4,72.59259259,672.2222222
1962,497,5010,HuntsCreek,5.4,92.03703704,463.8888889
1963,426,4380,HuntsCreek,5.4,78.88888889,405.5555556
1964,471,5930,HuntsCreek,5.4,87.22222222,549.0740741
1965,96,4990,HuntsCreek,5.4,17.77777778,462.037037
1966,399,5690,HuntsCreek,5.4,73.88888889,526.8518519
1967,87,600,HuntsCreek,5.4,16.11111111,55.55555556
1968,82,3620,HuntsCreek,5.4,15.18518519,335.1851852
1969,65,2200,HuntsCreek,5.4,12.03703704,203.7037037
1970,50,6470,HuntsCreek,5.4,9.259259259,599.0740741
1971,145,6270,HuntsCreek,5.4,26.85185185,580.5555556
1960,2,223,NeedleBranchCreek,0.97,2.06185567,114.9484536
1961,15,470,NeedleBranchCreek,0.97,15.46391753,242.2680412
1962,4,314,NeedleBranchCreek,0.97,4.12371134,161.8556701
1963,15,160,NeedleBranchCreek,0.97,15.46391753,82.4742268
1964,25,286,NeedleBranchCreek,0.97,25.77319588,147.4226804
1965,28,333,NeedleBranchCreek,0.97,28.86597938,171.6494845
1966,19,276,NeedleBranchCreek,0.97,19.58762887,142.2680412
1967,15,421,NeedleBranchCreek,0.97,15.46391753,217.0103093
1968,17,194,NeedleBranchCreek,0.97,17.5257732,100
1969,1,76,NeedleBranchCreek,0.97,1.030927835,39.17525773
1970,2,113,NeedleBranchCreek,0.97,2.06185567,58.24742268
1971,18,369,NeedleBranchCreek,0.97,18.55670103,190.2061856
1945,185,3388,NileCreek,6.1,30.32786885,277.704918
1946,172,5626,NileCreek,6.1,28.19672131,461.147541
1947,224,6227,NileCreek,6.1,36.72131148,510.4098361
1948,81,3577,NileCreek,6.1,13.27868852,293.1967213
1951,192,3946,NileCreek,6.1,31.47540984,323.442623
1961,853,24500,QualicumRiver,9.75,87.48717949,1256.410256
1962,1834,25900,QualicumRiver,9.75,188.1025641,1328.205128
1964,2047,23000,QualicumRiver,9.75,209.9487179,1179.487179
1965,1481,22400,QualicumRiver,9.75,151.8974359,1148.717949
1966,1740,12600,QualicumRiver,9.75,178.4615385,646.1538462
1967,501,34800,QualicumRiver,9.75,51.38461538,1784.615385
1968,1043,52400,QualicumRiver,9.75,106.974359,2687.179487
1969,711,13200,QualicumRiver,9.75,72.92307692,676.9230769
1970,1346,28400,QualicumRiver,9.75,138.0512821,1456.410256
1971,3858,58500,QualicumRiver,9.75,395.6923077,3000
1972,303,30100,QualicumRiver,9.75,31.07692308,1543.589744
1976,6000,291991,SForkSkykomishRiver,92.4,64.93506494,1580.037879
1977,9000,358104,SForkSkykomishRiver,92.4,97.4025974,1937.792208
1978,9887,281624,SForkSkykomishRiver,92.4,107.0021645,1523.939394
1979,14671,298736,SForkSkykomishRiver,92.4,158.7770563,1616.536797
1980,12389,215788,SForkSkykomishRiver,92.4,134.0800866,1167.683983
1981,7725,228603,SForkSkykomishRiver,92.4,83.6038961,1237.029221
1982,3255,226633,SForkSkykomishRiver,92.4,35.22727273,1226.369048
1983,2688,191692,SForkSkykomishRiver,92.4,29.09090909,1037.294372
1984,1747,184584,SForkSkykomishRiver,92.4,18.90692641,998.8311688
1976,187,5201,SnowCreek,7,26.71428571,371.5
1977,523,9156,SnowCreek,7,74.71428571,654
1978,277,9090,SnowCreek,7,39.57142857,649.2857143
1979,160,8344,SnowCreek,7,22.85714286,596
1980,323,7048,SnowCreek,7,46.14285714,503.4285714
1983,253,6947,SnowCreek,7,36.14285714,496.2142857
1984,179,10113,SnowCreek,7,25.57142857,722.3571429
1985,22,641,SnowCreek,7,3.142857143,45.78571429
1986,240,6296,SnowCreek,7,34.28571429,449.7142857
